Round,Date,GP Name,Country,City,Circuit Name,First GP,Number of Laps,Circuit Length(km),Race Distance(km),Lap Record,Record Owner,Record Year,Turns,DRS Zones
1,20/03/2022,Gulf Air Bahrain GP,Bahrain,Sakhir,Bahrain International Circuit,2004,57,5.412,308.238,01:31.4,Pedro de la Rosa,2005,15,3
2,27/03/2022,STC Saudi Arabian GP,Saudi Arabia,Jeddah,Jeddah Corniche Circuit,2021,50,6.174,308.45,01:30.8,Lewis Hamilton,2021,27,3
3,4/10/2022,Heineken Australian GP,Australia,Melbourne,Albert Park Circuit,1996,58,5.278,306.124,01:20.3,Charles Leclerc,2022,14,2
4,24/04/2022,Rolex Gran Premio Del Made in Italy e Dell'Emilia-Romagna,Italy,Imola,Autodromo Enzo e Dino Ferrari,1980,63,4.909,309.049,01:15.5,Lewis Hamilton,2020,18,1
5,5/8/2022,Crypto.com Miami GP,United States,Miami,Miami International Autodrome,2022,57,5.412,308.326,01:31.4,Max Verstappen,2022,19,3
6,22/05/2022,Pirelli Gran Premio de España,Spain,Catalunya,Circuit de Barcelona-Catalunya,1991,66,4.675,308.424,01:18.1,Max Verstappen,2021,16,2
7,29/05/2022,Grand Prix de Monaco,Monaco,Monte Carlo,Circuit de Monaco,1950,78,3.337,260.286,01:12.9,Lewis Hamilton,2021,19,1
8,6/12/2022,Azerbaijan GP,Azerbaijan,Baku,Baku City Circuit,2016,51,6.003,306.049,01:43.0,Charles Leclerc,2019,20,2
9,19/06/2022,AWS Grand Prix du Canada,Canada,Montréal,Circuit Gilles-Villeneuve,1978,70,4.361,305.27,01:13.1,Valtteri Bottas,2019,14,3
10,7/3/2022,Lenovo British GP,Great Britain,Silverstone,Silverstone Circuit,1950,52,5.891,306.198,01:27.1,Max Verstappen,2020,18,2
11,7/10/2022,Rolex Grosser Preis von Österreich,Austria,Spielberg,Red Bull Ring,1970,71,4.318,306.452,01:05.6,Carlos Sainz,2020,10,3
12,24/07/2022,Lenovo Grand Prix de France,France,Le Castellet,Circuit Paul Ricard,1971,53,5.842,309.69,01:32.7,Sebastian Vettel,2019,15,2
13,31/07/2022,Aramco Magyar Nagydij,Hungary,Budapest,Hungaroring,1986,70,4.381,306.63,01:16.6,Lewis Hamilton,2020,14,1
14,28/08/2022,Rolex Belgian GP,Belgium,Spa-Francorchamps,Circuit de Spa-Francorchamps,1950,44,7.004,308.052,01:46.3,Valtter Bottas,2018,19,2
15,9/4/2022,Heineken Dutch GP,Netherlands,Zandvoort,Circuit Zandvoort,1952,72,4.259,306.587,01:11.1,Lewis Hamilton,2021,14,2
16,9/11/2022,Pirelli Gran Premio D'Italia,Italy,Monza,Autodromo Nazionale Monza,1950,53,5.793,306.72,01:21.0,Rubens Barrichello,2004,11,2
17,10/2/2022,Singapore Airlines Singapore GP,Singapore,Singapore,Marina Bay Street Circuit,2008,61,5.063,308.706,01:41.9,Kevin Magnussen,2018,23,3
18,10/9/2022,Honda Japanese GP,Japan,Suzuka,Suzuka International Racing Course,1987,53,5.807,307.471,01:31.0,Lewis Hamilton,2019,18,1
19,23/10/2022,Aramco United States GP,United States,Austin,Circuit of the Americas,2012,56,5.513,308.405,01:36.2,Charles Leclerc,2019,20,2
20,30/10/2022,Gran Premio de la Ciudad de México,Mexico,Mexico City,Autodromo Hermanos Rodriguez,1963,71,4.304,305.354,01:17.8,Valtteri Bottas,2021,17,3
21,13/11/2022,Heineken Gran Prêmio de São Paulo,Brazil,São Paulo,Autodromo Jose Carlos Pace,1973,71,4.309,305.879,01:10.5,Valtteri Bottas,2018,15,2
22,20/11/2022,Etihad Airways Abu Dhabi GP,Abu Dhabi,Yas Island,Yas Marina Circuit,2009,58,5.281,306.183,01:26.1,Max Verstappen,2021,16,2
